NUVA,label,comment,abstract,instanceOf
VAC0037,TETRAVAC-ACELLULAIRE,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine), coquelucheux (acellulaire multicomposé, dose standard) et poliomyélitique (entier inactivé, trivalent)",False,VAC0551
VAC0038,"TICOVAC 0,5 mL","Vaccin entier inactivé contre l'encéphalite à tiques, souche Neudörfl, dose adulte",False,VAC1038
VAC0039,"TICOVAC 0,25 mL","Vaccin entier inactivé contre l'encéphalite à tiques, souche Neudörfl, dose pédiatrique",False,VAC1037
VAC0040,TYAVAX,"Vaccin typhoïdique (non conjugué, antigène polyosidique Vi purifié) combiné au vaccin contre l'hépatite A (entier inactivé, adsorbé)",False,VAC1114
VAC0041,TYPHIM VI,Vaccin typhoïdique polyosidique non conjugué (antigène capsulaire Vi),False,VAC0713
VAC0042,VACCIN BCG SSI,Vaccin contre la tuberculose (vivant atténué),False,VAC0134
VAC0043,BOOSTRIXTETRA,"Vaccin diphtérique (anatoxine, dose réduite), tétanique (anatoxine), coquelucheux (acellulaire multicomposé, 5 composants, dose réduite) et poliomyélitique (entier inactivé, trivalent), adsorbé",False,VAC0585
VAC0044,CERVARIX,"Vaccin contre les papillomavirus humains à base de VLP (Virus Like Particles ou pseudo particules virales), bivalent (types 16 et 18), recombinant, adsorbé",False,VAC0858
VAC0045,ENGERIX B 10 µg,"Vaccin recombinant contre l'hépatite B, dose pédiatrique",False,VAC0914
VAC0046,ENGERIX B 20 µg,"Vaccin recombinant contre l'hépatite B, dose adulte",False,VAC0915
VAC0047,FLUARIX,"Vaccin contre la grippe saisonnière inactivé trivalent, à virion fragmenté",False,VAC0925
VAC0048,GENHEVAC B PASTEUR,"Vaccin recombinant contre l'hépatite B, 20 µg d'antigène HBs, dose pédiatrique et adulte",False,VAC0915
VAC0049,HAVRIX 1440 U/1mL,"Vaccin entier inactivé contre l'hépatite A, dose adulte",False,VAC0910
VAC0050,"HAVRIX 720 U/0,5 mL","Vaccin entier inactivé contre l'hépatite A, dose pédiatrique",False,VAC0911
VAC0051,INFANRIXTETRA,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine), coquelucheux (acellulaire multicomposé, dose standard) et poliomyélitique (entier inactivé, trivalent)",False,VAC0551
VAC0052,VACCIN MENINGOCOCCIQUE A+C,Vaccin polyosidique non conjugué contre les méningocoques des sérogroupes A et C,False,VAC0151
VAC0053,PRIORIX,"Vaccin vivant atténué contre la rougeole, les oreillons et la rubéole",False,VAC0130
VAC0054,VACCIN RABIQUE PASTEUR,"Vaccin rabique entier inactivé, souche WISTAR Rabies PM/WI38 1503-3M, cultivé sur cellules Vero, inactivé par la bêta-propiolactone",False,VAC1116
VAC0056,VACCIN TETANIQUE PASTEUR,Vaccin tétanique (anatoxine),False,VAC0132
VAC0057,TWINRIX 20 µg,"Vaccin combiné contre les hépatites A et B, dose adulte",False,VAC0654
VAC0058,TWINRIX 10 µg,"Vaccin combiné contre les hépatites A et B, dose pédiatrique",False,VAC0653
VAC0059,TYPHERIX,Vaccin typhoïdique polyosidique non conjugué (antigène capsulaire Vi),False,VAC0713
VAC0060,VARILRIX,Vaccin vivant atténué contre la varicelle,False,VAC0159
VAC0061,VARIVAX,Vaccin vivant atténué contre la varicelle,False,VAC0159
VAC0062,VAXIGRIP,"Vaccin contre la grippe saisonnière inactivé trivalent, à virion fragmenté",False,VAC0925
VAC0063,TETRACOQ,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine), coquelucheux (entier inactivé) et poliomyélitique (entier inactivé, trivalent)",False,VAC1151
VAC0064,PENTACOQ,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine), coquelucheux (entier inactivé), anti-Haemophilus influenzae type b (conjugué à l'anatoxine tétanique) et poliomyélitique (entier inactivé, trivalent), adsorbé",False,VAC1126
