NUVA,label,comment,abstract,instanceOf
VAC0209,COMVAX,Hepatitis B and Haemophilus influenzae type b vaccine (OMP conjugate),False,VAC1217
VAC0210,D.S.D.P.T.,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated) pediatric vaccine",False,VAC0136
VAC0211,DAPTACEL,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (multicomponent acellular, standard dose) pediatric vaccine",False,VAC0602
VAC0212,DI TE PER POL IMPFSTOFF,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated) and inactivated polio (trivalent) pediatric vaccine",False,VAC1151
VAC0213,DI-TE-POL,"Diphtheria toxoid (standard dose), tetanus toxoid and inactivated polio (trivalent) pediatric vaccine",False,VAC0088
VAC0214,DIF-TET-ALL,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False,VAC0137
VAC0216,ANATOXAL DI TE,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False,VAC0137
VAC0217,DITOXIM,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False,VAC0137
VAC0218,DOUBLE ANIGEN B.,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False,VAC0137
VAC0219,DRYVAX,"Smallpox vaccine, first-generation, live vaccinia virus",False,VAC1122
VAC0220,DT MERIEUX,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False,VAC0137
VAC0222,"DTwP, unspecified","Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated) pediatric vaccine",False,VAC0136
VAC0223,DUAL ANTIGEN SII,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False,VAC0137
VAC0224,ECOLARIX,Live attenuated measles and rubella vaccine,False,VAC0550
VAC0225,EIPV,Inactivated polio (trivalent) vaccine,False,VAC0270
VAC0226,"Diptheria, Tetanus and Acellular Pertussis Combined Walvax vaccine","Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (multicomponent acellular, standard dose) pediatric vaccine",False,VAC0602
VAC0227,EPAXAL,"Inactivated hepatitis A vaccine, virosome, pediatric or adult",False,VAC0824
VAC0228,ERVEVAX RA 27/3,Live attenuated rubella vaccine,False,VAC0113
VAC0229,FLU SHIELD,Trivalent inactivated seasonal influenza vaccine,False,VAC0925
VAC0230,FLUAD,"Trivalent inactivated seasonal influenza vaccine, surface antigen, adjuvanted",False,VAC0925
VAC0231,FLUKOVAX,Trivalent inactivated seasonal influenza vaccine,False,VAC0925
VAC0232,FLULAVAL,Trivalent inactivated seasonal influenza vaccine,False,VAC0925
VAC0233,FLUMIST,"Seasonal influenza vaccine, trivalent, live attenuated, nasal",False,VAC1123
VAC0234,FLUOGEN,Trivalent whole virion inactivated seasonal influenza vaccine,False,VAC0820
VAC0235,FLUVIRIN,Trivalent inactivated seasonal influenza vaccine,False,VAC0925
VAC0236,Fluzone High-Dose,"Trivalent inactivated seasonal influenza vaccine, high dose",False,VAC1171
VAC0238,FUNED-CEME,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated) pediatric vaccine",False,VAC0136
VAC0240,GUNEVAX,Live attenuated rubella vaccine,False,VAC0113
