SNOMED-CT,NUVA,SNOMED-CT label, NUVA label
SNOMED-CT-871726005,VAC0131,"Rabies lyssavirus antigen only vaccine product","Rabies vaccine, unspecified"
SNOMED-CT-871727001,VAC0133,"Vaccinia virus antigen only vaccine product","Smallpox vaccine, unspecified"
SNOMED-CT-871729003,VAC0655,"Corynebacterium diphtheriae antigen only vaccine product","Diphtheria vaccine, unspecified"
SNOMED-CT-871730008,VAC1172,"Low dose Corynebacterium diphtheriae antigen only vaccine product","Diphtheria toxoid, reduced dose, unspecified"
SNOMED-CT-871732000,VAC0113,"Rubella virus antigen only vaccine product","Rubella vaccine, live attenuated, unspecified"
SNOMED-CT-871737006,VAC0153,"Mumps orthorubulavirus antigen only vaccine product","Mumps vaccine, unspecified"
SNOMED-CT-871738001,VAC0153,"Live attenuated Mumps orthorubulavirus antigen only vaccine product","Mumps vaccine, unspecified"
SNOMED-CT-871739009,VAC0135,"Human poliovirus antigen only vaccine product","Polio vaccine, unspecified"
SNOMED-CT-871740006,VAC0270,"Inactivated whole Human poliovirus antigen only vaccine product","Poliomyelitis inactivated vaccine, unspecified"
SNOMED-CT-871742003,VAC0132,"Clostridium tetani antigen only vaccine product","Tetanus vaccine, unspecified"
SNOMED-CT-871750007,VAC0912,"Hepatitis A virus antigen only pediatric vaccine product","Hepatitis A vaccine, pediatric dose, unspecified"
SNOMED-CT-871751006,VAC1247,"Hepatitis A virus antigen only vaccine product","Hepatitis A vaccine, unspecified"
SNOMED-CT-871755002,VAC0713,"Salmonella enterica subspecies enterica serovar Typhi capsular polysaccharide Vi antigen only vaccine product","Typhoid polysaccharide vaccine, unspecified"
SNOMED-CT-871758000,VAC0796,"Bordetella pertussis antigen only vaccine product","Pertussis vaccine, unspecified"
SNOMED-CT-871759008,VAC0796,"Acellular Bordetella pertussis only vaccine product","Pertussis vaccine, unspecified"
SNOMED-CT-871761004,VAC0158,"Rotavirus antigen only vaccine product","Rotavirus vaccine, unspecified"
SNOMED-CT-871764007,VAC0143,"Haemophilus influenzae type b antigen only vaccine product","Haemophilus influenzae B (or Hib) vaccine, unspecified"
SNOMED-CT-871765008,VAC0114,"Measles morbillivirus antigen only vaccine product","Measles live attenuated vaccine, unspecified"
SNOMED-CT-871766009,VAC0114,"Live attenuated Measles morbillivirus antigen only vaccine product","Measles live attenuated vaccine, unspecified"
SNOMED-CT-871768005,#MISS,"Influenza virus antigen only vaccine product in nasal dose form",
SNOMED-CT-871772009,VAC0147,"Influenza A virus subtype H1N1 antigen only vaccine product","Influenza A(H1N1)2009 vaccine, unspecified"
SNOMED-CT-871803007,VAC0825,"Hepatitis A and Hepatitis B virus antigens only vaccine product","Hepatitis A and hepatitis B combined vaccine, unspecified"
SNOMED-CT-871804001,VAC0712,"Hepatitis A virus and Salmonella enterica subspecies enterica serovar Typhi antigens only vaccine product","Typhoid-hepatitis A vaccine, unspecified"
SNOMED-CT-871806004,VAC0801,"Haemophilus influenzae type b and Hepatitis B virus antigens only vaccine product","Haemophilus influenzae type b and hepatitis B vaccine, unspecified"
SNOMED-CT-871816007,VAC0380,"Clostridium tetani and Human poliovirus antigens only vaccine product","T.Polio, unspecified"
SNOMED-CT-871817003,VAC0550,"Measles morbillivirus and Rubella virus antigens only vaccine product","Measles and rubella live attenuated vaccine, unspecified"
SNOMED-CT-871822003,VAC1125,"Hepatitis B virus antigen only vaccine product","Hepatitis B vaccine, unspecified"
SNOMED-CT-871825001,VAC0819,"Inactivated whole Japanese encephalitis virus antigen adsorbed only vaccine product","Japanese Encephalitis inactivated vaccine, unspecified"
SNOMED-CT-871826000,VAC0382,"Clostridium tetani and Corynebacterium diphtheriae antigens only vaccine product","Tetanus diphtheria vaccine, unspecified"
SNOMED-CT-871827009,VAC0920,"Clostridium tetani and low dose Corynebacterium diphtheriae antigens only vaccine product","Diphtheria-tetanus Td vaccine, unspecified"
SNOMED-CT-871830002,VAC0655,"Corynebacterium diphtheriae toxoid antigen-containing vaccine product","Diphtheria vaccine, unspecified"
SNOMED-CT-871831003,VAC0130,"Measles morbillivirus and Mumps orthorubulavirus and Rubella virus antigens only vaccine product","MMR Measles-Mumps-Rubella Vaccine, live attenuated, unspecified"
SNOMED-CT-871837004,VAC0855,"Clostridium tetani and Corynebacterium diphtheriae and Human poliovirus antigens only vaccine product","Diphtheria (unspecified dose), tetanus and inactivated polio (trivalent) vaccine, adsorbed"
SNOMED-CT-871838009,VAC0549,"Clostridium tetani and low dose Corynebacterium diphtheriae and inactivated Human poliovirus antigens only vaccine product","dTIPV - Diphtheria-Tetanus-Polio, low dose, unspecified"
SNOMED-CT-871839001,VAC0800,"Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type b antigens only vaccine product","Diphtheria-tetanus-pertussis-Hib vaccine, unspecified"
SNOMED-CT-871866001,VAC0150,"Neisseria meningitidis serogroup C only vaccine product","Meningococcal conjugate vaccine C, unspecified"
SNOMED-CT-871871008,VAC0151,"Neisseria meningitidis serogroup A and C antigens only vaccine product","Meningococcal A + C vaccine, unspecified"
SNOMED-CT-871873006,VAC0152,"Neisseria meningitidis serogroup A, C, W, and Y only vaccine product","Meningococcal ACWY unconjugated vaccine, unspecified"
SNOMED-CT-871875004,VAC0601,"Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens only vaccine product","DPT Diphtheria-Pertussis-Tetanus vaccine, unspecified"
SNOMED-CT-871876003,VAC0797,"Acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens only vaccine product","Diph-T-aP/ap, unspecified"
SNOMED-CT-871878002,VAC0138,"Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Human poliovirus antigens only vaccine product","Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified"
SNOMED-CT-871883005,VAC0551,"Acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Human poliovirus antigens only pediatric vaccine product","DTaPIPV vaccine, standard dose, unspecified"
SNOMED-CT-871886002,VAC0599,"Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type b and Hepatitis B virus antigens only vaccine product","DTPerHibHepB pentavalent vaccine, unspecified"
SNOMED-CT-871887006,VAC0880,"Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type b and Human poliovirus antigens only vaccine product","Diphtheria (standard dose), tetanus, pertussis, Haemophilus influenzae type b (conjugated) and inactivated polio (trivalent) pentavalent DTPerHibIPV vaccine, adsorbed, pediatric"
SNOMED-CT-871888001,VAC0506,"Acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type b and inactivated Human poliovirus antigens only vaccine product","Pentavalent DTaPHibIPV vaccine, unspecified"
SNOMED-CT-871889009,#MISS,"Acellular Bordetella pertussis and Corynebacterium diphtheriae and Hepatitis B virus and inactivated whole Human poliovirus antigens only vaccine product",
SNOMED-CT-871890000,#MISS,"Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type b and Human poliovirus antigens only vaccine product",
SNOMED-CT-871891001,VAC0792,"Acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Hepatitis B and inactivated whole Human poliovirus antigens only vaccine product","Diphtheria-Tetanus-Pertussis-Polio-Hepatitis B pentavalent vaccine, unspecified"
SNOMED-CT-871893003,#MISS,"Acellular Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and inactivated Human poliovirus antigens only vaccine product",
SNOMED-CT-871894009,VAC0585,"Acellular Bordetella pertussis and Clostridium tetani and low dose Corynebacterium diphtheriae and inactivated Human poliovirus antigens only vaccine product","TdapIPV - Diphtheria-Tetanus-Pertussis-Polio vaccine, low dose, unspecified"
SNOMED-CT-871895005,VAC0791,"Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type b and Hepatitis B virus and Human poliovirus antigens only vaccine product","Diphtheria (standard dose), tetanus, pertussis (whole or acellular, unspecified dose), inactivated polio (whole, trivalent), Haemophilus influenzae type b (conjugate, unspecified) and hepatitis B (recombinant) hexavalent DTPerHibPHepB vaccine, pediatric"
SNOMED-CT-871897002,#MISS,"Rocky Mountain spotted fever vaccine",
SNOMED-CT-871908002,VAC0827,"Human alphaherpesvirus 3 and Measles morbillivirus and Mumps orthorubulavirus and Rubella virus antigens only vaccine product","Measles, mumps, rubella and varicella (MMRV) live attenuated vaccine, unspecified"
SNOMED-CT-871911001,VAC1073,"Borrelia burgdorferi antigen only vaccine product","Lyme disease vaccine, unspecified"
SNOMED-CT-871916006,VAC0643,"Neisseria meningitidis serogroup A, C, W, and Y capsular oligosaccharide conjugated antigens only vaccine product","Meningococcal ACWY conjugate vaccine, unspecified"
SNOMED-CT-871918007,VAC0512,"Rickettsia antigen-containing vaccine product","Typhus vaccine, unspecified"
SNOMED-CT-871919004,VAC0159,"Human alphaherpesvirus 3 antigen only vaccine product","Chickenpox vaccine, unspecified"
SNOMED-CT-871921009,#MISS,"Staphylococcus toxoid vaccine",
SNOMED-CT-871925000,VAC1125,"Hepatitis B surface antigen only vaccine product","Hepatitis B vaccine, unspecified"
SNOMED-CT-871928003,#MISS,"Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Human poliovirus and Measles morbillivirus antigens only vaccine product",
SNOMED-CT-871929006,VAC0790,"Clostridium tetani and Corynebacterium diphtheriae and Hepatitis B virus antigens only vaccine product","Diphtheria, tetanus and hepatitis B (recombinant) vaccine, unspecified"
SNOMED-CT-91000221102,VAC0102,"Inactivated whole Hepatitis A virus antigen only vaccine product","Hepatitis A inactivated vaccine, unspecified"
SNOMED-CT-911000221103,VAC0156,"Human papillomavirus antigen only vaccine product","HPV Vaccine"
SNOMED-CT-921000221108,VAC0945,"Neisseria meningitidis antigen only vaccine product","Meningococcal vaccine serogroup unknown, unspecified"
SNOMED-CT-951000221102,VAC0150,"Neisseria meningitidis serogroup C capsular polysaccharide conjugated antigen only vaccine product","Meningococcal conjugate vaccine C, unspecified"
SNOMED-CT-961000221100,VAC0713,"Salmonella enterica subspecies enterica serovar Typhi antigen only vaccine product","Typhoid polysaccharide vaccine, unspecified"
SNOMED-CT-971000221109,VAC0424,"Live attenuated Salmonella enterica subspecies enterica serovar Typhi antigen only vaccine product in oral dose form","Typhoid live attenuated oral vaccine, unspecified"
SNOMED-CT-981000221107,VAC0157,"Streptococcus pneumoniae antigen only vaccine product","Pneumococcal vaccine, unspecified"
SNOMED-CT-991000221105,VAC0144,"Vibrio cholerae antigen only vaccine product","Cholera vaccine, unspecified"
SNOMED-CT-#108727009,#MISS,"Japanese encephalitis virus vaccine",
SNOMED-CT-#108729007,#MISS,"Varicella vaccine",
SNOMED-CT-#111164008,#MISS,"Poliovirus vaccine",
SNOMED-CT-#1119254000,#MISS,"Streptococcus pneumoniae Danish serotype 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, and 23F capsular polysaccharide antigens only vaccine product",
SNOMED-CT-#1142178009,#MISS,"SARS-CoV-2 antigen vaccine or SARS-CoV-2 mRNA vaccine",
SNOMED-CT-#116077000,#MISS,"Rotavirus vaccine",
SNOMED-CT-#116083002,#MISS,"Lyme disease vaccine",
SNOMED-CT-#11866009,#MISS,"Plague vaccine",
SNOMED-CT-#123686003,#MISS,"Mixed bacterial vaccine",
SNOMED-CT-#125580002,#MISS,"Whole cell Bordetella pertussis and Clostridium tetani toxoid adsorbed and Corynebacterium diphtheriae toxoid antigens-containing vaccine product",
SNOMED-CT-#125581003,#MISS,"Diphtheria and tetanus toxoids and acellular pertussis",
SNOMED-CT-#125688000,#MISS,"Inactivated poliovirus vaccine",
SNOMED-CT-#125690004,#MISS,"Live poliovirus vaccine",
SNOMED-CT-#125696005,#MISS,"Mixed respiratory vaccine",
SNOMED-CT-#125714002,#MISS,"Pneumococcal 7-valent conjugate vaccine",
SNOMED-CT-#125715001,#MISS,"Rabies vaccine, adsorbed",
SNOMED-CT-#13178004,#MISS,"Rickettsial vaccine",
SNOMED-CT-#135642004,#MISS,"Pneumococcal polysaccharide vaccine",
SNOMED-CT-#135643009,#MISS,"Pneumococcal polysaccharide conjugated vaccine",
SNOMED-CT-#14745005,#MISS,"Hepatitis A virus vaccine",
SNOMED-CT-#147674008,#MISS,"Measles/rubella: [vaccine] or [vaccination]",
SNOMED-CT-#2011000221106,#MISS,"Live attenuated Human poliovirus serotypes 1, 2, and 3 antigens only vaccine product in parenteral dose form",
SNOMED-CT-#255701000,#MISS,"BCG vaccine",
SNOMED-CT-#309543007,#MISS,"Measles/rubella: [vaccine] or [vaccination]",
SNOMED-CT-#311548005,#MISS,"Tet/low dose dipther vaccine (& vaccination)",
SNOMED-CT-#33234009,#MISS,"Smallpox vaccine",
SNOMED-CT-#333521006,#MISS,"Anthrax vaccine",
SNOMED-CT-#333522004,#MISS,"Anthrax vaccine injection solution 0.5mL ampule",
SNOMED-CT-#333536009,#MISS,"Diphtheria vaccine",
SNOMED-CT-#333549004,#MISS,"Adsorbed diphtheria+tetanus vaccine injection suspension 0.5mL prefilled syringe",
SNOMED-CT-#333566002,#MISS,"Hepatitis B vaccine 20micrograms/mL injection suspension 1ml prefilled syringe",
SNOMED-CT-#333568001,#MISS,"Hepatitis B vaccine 10micrograms/mL injection suspension 1mL vial",
SNOMED-CT-#333569009,#MISS,"Hepatitis B vaccine 10micrograms/mL injection suspension 1mL prefilled syringe",
SNOMED-CT-#333573007,#MISS,"Hepatitis B vaccine 40micrograms/mL injection suspension 1ml vial",
SNOMED-CT-#333576004,#MISS,"Influvac sub-unit prefilled syringe 0.5mL",
SNOMED-CT-#333583006,#MISS,"Influenza vaccine Vials 5mL",
SNOMED-CT-#333584000,#MISS,"Influenza vaccine Vials 25mL",
SNOMED-CT-#333596007,#MISS,"Pertussis vaccine ampules 0.5mL",
SNOMED-CT-#333598008,#MISS,"Pneumococcal vaccine",
SNOMED-CT-#333603000,#MISS,"Poliomyelitis inactivated vaccine injection",
SNOMED-CT-#333606008,#MISS,"Rabies vaccine",
SNOMED-CT-#333607004,#MISS,"Rabies inactivated vaccine powder and solvent for injection solution vial",
SNOMED-CT-#333620001,#MISS,"Smallpox vaccine injection solution vial",
SNOMED-CT-#333621002,#MISS,"Tetanus vaccine",
SNOMED-CT-#333641007,#MISS,"Adsorbed tetanus vaccine injection solution prefilled syringe",
SNOMED-CT-#333645003,#MISS,"Typhoid vaccine Vials 1.5mL",
SNOMED-CT-#333651008,#MISS,"Typhus vaccine",
SNOMED-CT-#333652001,#MISS,"Yellow fever live vaccine injection solution vial",
SNOMED-CT-#333661001,#MISS,"Meningitis vaccine",
SNOMED-CT-#333662008,#MISS,"Meningitis vaccine ac injection 1 Dose",
SNOMED-CT-#333668007,#MISS,"Meningococcal C conjugate vaccine injection solution prefilled syringe",
SNOMED-CT-#333669004,#MISS,"Meningococcal C conjugate vaccine powder and solvent for injection solution vial",
SNOMED-CT-#333670003,#MISS,"Meningococcal C conjugate vaccine injection solution vial",
SNOMED-CT-#333680004,#MISS,"Haemophilus influenzae Type b vaccine",
SNOMED-CT-#333691006,#MISS,"Haemophilus influenzae Type b (Hib)/diphtheria/tetanus/pertussis vaccine vial+prefilled syringe",
SNOMED-CT-#333693009,#MISS,"Haemophilus influenzae Type b (Hib)/diphtheria/tetanus/pertussis vaccine prefilled syringe",
SNOMED-CT-#333696001,#MISS,"Haemophilus influenzae Type b (Hib)/diphtheria/tetanus/pertussis vaccine vial",
SNOMED-CT-#333697005,#MISS,"Japanese B encephalitis vaccine",
SNOMED-CT-#333698000,#MISS,"Japanese B encephalitis vaccine powder and solvent for injection solution vial",
SNOMED-CT-#333699008,#MISS,"Tick-borne encephalitis vaccine",
SNOMED-CT-#333700009,#MISS,"Tick-borne encephalitis vaccine injection solution prefilled syringe",
SNOMED-CT-#333702001,#MISS,"Hepatitis A+B vaccine",
SNOMED-CT-#333707007,#MISS,"Hepatitis A+typhoid vaccine",
SNOMED-CT-#333708002,#MISS,"Hepatitis A 1440u//typhoid 25mcg vaccine injection solution 1mL prefilled syringe",
SNOMED-CT-#346402006,#MISS,"Diphtheria single antigen vaccine",
SNOMED-CT-#346524008,#MISS,"Influenza split virion vaccine",
SNOMED-CT-#346525009,#MISS,"Inactivated Influenza surface antigen sub-unit vaccine",
SNOMED-CT-#346639000,#MISS,"Typhoid polysaccharide vaccine",
SNOMED-CT-#346696005,#MISS,"Typhoid live oral vaccine",
SNOMED-CT-#346697001,#MISS,"Typhoid whole cell vaccine",
SNOMED-CT-#34689006,#MISS,"Hepatitis B virus vaccine",
SNOMED-CT-#347647005,#MISS,"Haemophilus influenzae Type b vaccine injection (pdr for recon)+diluent",
SNOMED-CT-#347649008,#MISS,"Measles/mumps/rubella vaccine powder and solvent for injection solution vial",
SNOMED-CT-#347653005,#MISS,"Rubella live vaccine powder and solvent for injection solution vial",
SNOMED-CT-#347659009,#MISS,"Meningococcal polysaccharide vaccine powder and solvent for injection solution vial",
SNOMED-CT-#347664008,#MISS,"Adsorbed tetanus vaccine injection solution ampule",
SNOMED-CT-#347689002,#MISS,"Hepatitis B vaccine (adult) 20micrograms/mL injection solution 1mL vial",
SNOMED-CT-#347690006,#MISS,"Hepatitis B vaccine 10micrograms/0.5mL paediatric injection vial",
SNOMED-CT-#348045000,#MISS,"Hepatitis A vaccine injection suspension prefilled syringe",
SNOMED-CT-#348046004,#MISS,"Influenza (split virion) vaccine injection suspension 0.5mL prefilled syringe",
SNOMED-CT-#348047008,#MISS,"Inactivated Influenza surface antigen sub-unit vaccine prefilled syringe",
SNOMED-CT-#348070000,#MISS,"Typhoid polysaccharide vaccine 25micrograms injection suspension 0.5mL prefilled syringe",
SNOMED-CT-#350327004,#MISS,"Diphtheria + tetanus vaccine",
SNOMED-CT-#3526007,#MISS,"Rabies vaccine, human",
SNOMED-CT-#353375008,#MISS,"Hepatitis B vaccine 10micrograms/1mL injection",
SNOMED-CT-#35736007,#MISS,"Cholera vaccine",
SNOMED-CT-#359068008,#MISS,"Meningococcal C conjugate vaccine",
SNOMED-CT-#359069000,#MISS,"Meningococcal polysaccharide vaccine injection (pdr for recon)+diluent",
SNOMED-CT-#375054005,#MISS,"Tetanus toxoid, adsorbed 20u/mL 0.5mL injection solution ampoule",
SNOMED-CT-#375139001,#MISS,"Hepatitis a vaccine, inactiv 50unt suspension",
SNOMED-CT-#375140004,#MISS,"Hepatitis a vaccine, inactiv 25unt suspension",
SNOMED-CT-#375947002,#MISS,"Influenza virus vaccine 45mg injection",
SNOMED-CT-#375952007,#MISS,"Influenza virus vaccine triv 45mcg/0.5mL injection",
SNOMED-CT-#376108008,#MISS,"Pneumococcal vaccine, polyva 0.5mL injection",
SNOMED-CT-#376208003,#MISS,"Lyme disease vaccine recombi 6mcg/mL injection solution 5mL ampule",
SNOMED-CT-#376564004,#MISS,"Anthrax vaccine, adsorbed 5mL injection",
SNOMED-CT-#376990005,#MISS,"Mumps virus vaccine live 1 dose injection solution 0.5mL vial",
SNOMED-CT-#376994001,#MISS,"Measles virus vaccine, live, 0.5mL/vial injection",
SNOMED-CT-#376997008,#MISS,"Mumps virus vaccine live injection solution 0.5mL vial",
SNOMED-CT-#377013003,#MISS,"Hepatitis a vaccine, inactiv 25unts solution",
SNOMED-CT-#377016006,#MISS,"Hepatitis a vaccine, inactiv 50unts solution",
SNOMED-CT-#377089008,#MISS,"Lyme disease vaccine recombi 60mcg/mL injection solution 0.5mL ampule",
SNOMED-CT-#377358000,#MISS,"Diphtheria toxoid adsorbed + pertussis vaccine, adsorbed + tetanus toxoid, adsorbed ns/ns/ns injection",
SNOMED-CT-#384933000,#MISS,"Diphtheria toxoid adsorbed ns/pertussis adsorbed ns/tetanus toxoid adsorbed ns injection suspension vial",
SNOMED-CT-#386012008,#MISS,"Measles vaccine",
SNOMED-CT-#386013003,#MISS,"Rubella vaccine",
SNOMED-CT-#396412003,#MISS,"Tetanus toxoid",
SNOMED-CT-#396417009,#MISS,"Diphtheria toxoid",
SNOMED-CT-#396419007,#MISS,"BCG vaccine",
SNOMED-CT-#396420001,#MISS,"Anthrax vaccine",
SNOMED-CT-#396422009,#MISS,"Cholera vaccine",
SNOMED-CT-#396423004,#MISS,"Hepatitis A virus vaccine",
SNOMED-CT-#396424005,#MISS,"Hepatitis B virus vaccine",
SNOMED-CT-#396425006,#MISS,"Influenza virus vaccine",
SNOMED-CT-#396426007,#MISS,"Japanese encephalitis virus vaccine",
SNOMED-CT-#396427003,#MISS,"Measles vaccine",
SNOMED-CT-#396428008,#MISS,"Measles live virus vaccine",
SNOMED-CT-#396429000,#MISS,"Measles, mumps and rubella vaccine",
SNOMED-CT-#396430005,#MISS,"Meningococcus vaccine",
SNOMED-CT-#396431009,#MISS,"Mumps vaccine",
SNOMED-CT-#396433007,#MISS,"Pertussis vaccine",
SNOMED-CT-#396435000,#MISS,"Inactivated Poliovirus vaccine",
SNOMED-CT-#396436004,#MISS,"Live Poliovirus vaccine",
SNOMED-CT-#396437008,#MISS,"Rabies vaccine",
SNOMED-CT-#396438003,#MISS,"Rubella vaccine",
SNOMED-CT-#396439006,#MISS,"Smallpox vaccine",
SNOMED-CT-#396441007,#MISS,"Typhoid vaccine",
SNOMED-CT-#396442000,#MISS,"Varicella virus vaccine",
SNOMED-CT-#396444004,#MISS,"Yellow fever vaccine",
SNOMED-CT-#396457007,#MISS,"Diphtheria, acellular pertussis, hepatitis B and inactivated polio vaccine",
SNOMED-CT-#397236006,#MISS,"Lyme disease vaccine",
SNOMED-CT-#398673001,#MISS,"Parainfluenza virus vaccine",
SNOMED-CT-#398730001,#MISS,"Pneumococcal vaccine",
SNOMED-CT-#398756008,#MISS,"Vaccinia virus vaccine",
SNOMED-CT-#398777006,#MISS,"Typhus vaccine",
SNOMED-CT-#398783009,#MISS,"Tick-borne encephalitis vaccine",
SNOMED-CT-#398815003,#MISS,"Rocky Mountain spotted fever vaccine",
SNOMED-CT-#398824007,#MISS,"Rickettsial vaccine",
SNOMED-CT-#398866008,#MISS,"Rotavirus vaccine",
SNOMED-CT-#398901001,#MISS,"Diphtheria vaccine",
SNOMED-CT-#400287005,#MISS,"Polyvalent pneumococcal vaccine injection solution 0.5mL syringe",
SNOMED-CT-#400449000,#MISS,"Measles virus vaccine, live, 0.5mL/vial powder for injection",
SNOMED-CT-#400563009,#MISS,"Anthrax vaccine, adsorbed injection solution 5mL vial",
SNOMED-CT-#400564003,#MISS,"Influenza virus vaccine trivalent 45mcg/0.5mL injection solution 5mL vial",
SNOMED-CT-#400788004,#MISS,"Influenza virus vaccine triv 45mcg/0.5mL injection solution 0.5mL syringe",
SNOMED-CT-#404772006,#MISS,"Influenza vaccine Vials 5mL",
SNOMED-CT-#404773001,#MISS,"Influenza vaccine Vials 25mL",
SNOMED-CT-#404774007,#MISS,"Pertussis vaccine ampules 0.5mL",
SNOMED-CT-#404775008,#MISS,"Typhoid vaccine Vials 1.5mL",
SNOMED-CT-#404776009,#MISS,"Meningitis vaccine ac injection 1 Dose",
SNOMED-CT-#406324009,#MISS,"Hepatitis A vaccine injection suspension 0.5 mL prefilled syringe",
SNOMED-CT-#406325005,#MISS,"Hepatitis A vaccine injection suspension 1 mL prefilled syringe",
SNOMED-CT-#407737004,#MISS,"Varicella-zoster vaccine",
SNOMED-CT-#407746005,#MISS,"Varicella-zoster live attenuated vaccine",
SNOMED-CT-#407933006,#MISS,"Varicella-zoster live attenuated vaccine injection (pdr for recon)+solvent",
SNOMED-CT-#408752008,#MISS,"Inactivated influenza split virion vaccine",
SNOMED-CT-#408753003,#MISS,"Inactivated influenza surface antigen vaccine",
SNOMED-CT-#409152009,#MISS,"Dried smallpox vaccine, calf lymph type 1 vial + diluent 0.25mL syringe",
SNOMED-CT-#409269001,#MISS,"Intranasal influenza live virus vaccine",
SNOMED-CT-#409579003,#MISS,"Inactivated whole-cell/recombinant-B-subunit cholera vaccine",
SNOMED-CT-#409580000,#MISS,"CVD 103-HgR live attenuated oral cholera vaccine",
SNOMED-CT-#411563007,#MISS,"Tetanus toxoid extract",
SNOMED-CT-#412288000,#MISS,"Human rabies vaccine",
SNOMED-CT-#412300006,#MISS,"Rubella and mumps vaccine",
SNOMED-CT-#412314006,#MISS,"Tetanus toxoid fluid",
SNOMED-CT-#412315007,#MISS,"Tetanus and diphtheria toxoid",
SNOMED-CT-#412324003,#MISS,"Typhoid VI polysaccharide vaccine",
SNOMED-CT-#412373007,#MISS,"Diphtheria + pertussis + tetanus + Haemophilus influenzae type b vaccine",
SNOMED-CT-#412374001,#MISS,"Haemophilus influenzae type b vaccine",
SNOMED-CT-#412375000,#MISS,"Tetanus vaccine",
SNOMED-CT-#412402004,#MISS,"Hepatitis B virus recombinant vaccine",
SNOMED-CT-#412403009,#MISS,"Hepatitis B virus recombinant vaccine",
SNOMED-CT-#412477009,#MISS,"Plague vaccine",
SNOMED-CT-#412529007,#MISS,"Varicella virus live vaccine",
SNOMED-CT-#412530002,#MISS,"Varicella virus live vaccine",
SNOMED-CT-#412606007,#MISS,"Typhoid polysaccharide vaccine",
SNOMED-CT-#412607003,#MISS,"Typhoid VI polysaccharide vaccine",
SNOMED-CT-#414002009,#MISS,"Diphtheria + tetanus + inactivated poliovirus vaccine",
SNOMED-CT-#414003004,#MISS,"Diphtheria + tetanus + pertussis + inactivated poliovirus vaccine",
SNOMED-CT-#414004005,#MISS,"Diphtheria + tetanus + pertussis + poliomyelitis + haemophilus influenzae b vaccine",
SNOMED-CT-#414005006,#MISS,"Diphtheria + tetanus + pertussis + poliomyelitis vaccine",
SNOMED-CT-#414006007,#MISS,"Diphtheria + tetanus + poliomyelitis vaccine",
SNOMED-CT-#415129008,#MISS,"Poliovirus vaccine",
SNOMED-CT-#417011002,#MISS,"Pneumococcal polysaccharide vaccine",
SNOMED-CT-#418163009,#MISS,"Influenza vaccine",
SNOMED-CT-#418310008,#MISS,"Viral vaccine",
SNOMED-CT-#418478006,#MISS,"Typhoid whole cell vaccine",
SNOMED-CT-#418707004,#MISS,"Inactivated Influenza surface antigen virosome vaccine prefilled syringe",
SNOMED-CT-#418773001,#MISS,"Diphtheria single antigen vaccine",
SNOMED-CT-#419013009,#MISS,"Meningococcal polysaccharide vaccine",
SNOMED-CT-#419456007,#MISS,"Influenza surface antigen vaccine",
SNOMED-CT-#419550004,#MISS,"Measles + mumps + rubella + varicella vaccine",
SNOMED-CT-#419562000,#MISS,"Inactivated Influenza surface antigen virosome vaccine",
SNOMED-CT-#419771007,#MISS,"Measles/mumps/rubella/varicella vaccine powder and solvent for injection solution vial",
SNOMED-CT-#419780007,#MISS,"Bacterial vaccine",
SNOMED-CT-#419826009,#MISS,"Influenza split virion vaccine",
SNOMED-CT-#420261000,#MISS,"Meningococcal groups A+C+W135+Y vaccine",
SNOMED-CT-#420538001,#MISS,"Tuberculosis vaccine",
SNOMED-CT-#420930003,#MISS,"Staphylococcus toxoid vaccine",
SNOMED-CT-#421245007,#MISS,"Diphtheria + pertussis + tetanus vaccine",
SNOMED-CT-#421281005,#MISS,"Meningococcal A+C vaccine",
SNOMED-CT-#422069000,#MISS,"Meningococcal group C vaccine",
SNOMED-CT-#423531006,#MISS,"Meningococcus vaccine",
SNOMED-CT-#423907008,#MISS,"Tuberculosis vaccine",
SNOMED-CT-#423912009,#MISS,"Haemophilus influenzae type b + Meningococcal group C vaccine",
SNOMED-CT-#423929007,#MISS,"Human papillomavirus vaccine",
SNOMED-CT-#424311003,#MISS,"Influenza vaccine",
SNOMED-CT-#424519000,#MISS,"Human papillomavirus vaccine",
SNOMED-CT-#424891007,#MISS,"Meningococcus vaccine",
SNOMED-CT-#425555004,#MISS,"Haemophilus influenzae Type b + tetanus vaccine",
