CTI-EXTEND,NUVA,CTI-EXTEND label, NUVA label
CTI-EXTEND-287716-01,VAC0017,"M-M-RVaxPro susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","M-M-RVAXPRO"
CTI-EXTEND-287691-01,VAC0017,"M-M-RVaxPro susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","M-M-RVAXPRO"
CTI-EXTEND-303852-02,VAC0121,"Priorix-Tetra sol. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","PRIORIX-TETRA"
CTI-EXTEND-303852-03,VAC0121,"Priorix-Tetra sol. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","PRIORIX-TETRA"
CTI-EXTEND-303852-01,VAC0121,"Priorix-Tetra sol. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","PRIORIX-TETRA"
CTI-EXTEND-303852-04,VAC0121,"Priorix-Tetra sol. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","PRIORIX-TETRA"
CTI-EXTEND-287271-01,VAC0174,"ProQuad susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","PROQUAD"
CTI-EXTEND-287217-01,VAC0174,"ProQuad susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","PROQUAD"
CTI-EXTEND-288172-01,VAC0174,"ProQuad susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","PROQUAD"
CTI-EXTEND-287305-01,VAC0174,"ProQuad susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","PROQUAD"
CTI-EXTEND-287201-01,VAC0174,"ProQuad susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","PROQUAD"
CTI-EXTEND-287296-01,VAC0174,"ProQuad susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","PROQUAD"
CTI-EXTEND-287253-01,VAC0174,"ProQuad susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","PROQUAD"
CTI-EXTEND-288181-01,VAC0174,"ProQuad susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","PROQUAD"
CTI-EXTEND-287244-01,VAC0174,"ProQuad susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","PROQUAD"
CTI-EXTEND-287287-01,VAC0174,"ProQuad susp. inj. (pdr. + solv.) s.c./i.m. ser. préremplie flac.","PROQUAD"
