CTI-EXTEND,NUVA,CTI-EXTEND label, NUVA label
CTI-EXTEND-663850-01,VAC0913,"Bimervax XBB.1.16 émuls. inj. i.m. flac.","BIMERVAX"
CTI-EXTEND-663851-01,VAC0913,"Bimervax XBB.1.16 émuls. inj. i.m. flac.","BIMERVAX"
CTI-EXTEND-663852-01,VAC0913,"Bimervax XBB.1.16 émuls. inj. i.m. flac.","BIMERVAX"
CTI-EXTEND-664996-01,#MISS,"Nuvaxovid JN.1 disp. inj. i.m. ser. préremplie",
CTI-EXTEND-664997-01,#MISS,"Nuvaxovid JN.1 disp. inj. i.m. ser. préremplie",
CTI-EXTEND-664998-01,#MISS,"Nuvaxovid JN.1 disp. inj. i.m. ser. préremplie",
CTI-EXTEND-665216-01,#MISS,"Bimervax LP.8.1 émuls. inj. i.m. flac.",
CTI-EXTEND-665217-01,#MISS,"Bimervax LP.8.1 émuls. inj. i.m. flac.",
CTI-EXTEND-665218-01,#MISS,"Bimervax LP.8.1 émuls. inj. i.m. flac.",
CTI-EXTEND-666026-01,#MISS,"Bimervax LP.8.1 émuls. inj. i.m. ser. préremplie",
CTI-EXTEND-666027-01,#MISS,"Bimervax LP.8.1 émuls. inj. i.m. ser. préremplie",
CTI-EXTEND-666449-01,#MISS,"Nuvaxovid XFG disp. inj. i.m. ser. préremplie",
CTI-EXTEND-666450-01,#MISS,"Nuvaxovid XFG disp. inj. i.m. ser. préremplie",
CTI-EXTEND-666451-01,#MISS,"Nuvaxovid XFG disp. inj. i.m. ser. préremplie",
CTI-EXTEND-666452-01,#MISS,"Bimervax XFG.1.1 émuls. inj. i.m. flac.",
CTI-EXTEND-666453-01,#MISS,"Bimervax XFG.1.1 émuls. inj. i.m. flac.",
CTI-EXTEND-666454-01,#MISS,"Bimervax XFG.1.1 émuls. inj. i.m. flac.",
CTI-EXTEND-666455-01,#MISS,"Bimervax XFG.1.1 émuls. inj. i.m. ser. préremplie",
CTI-EXTEND-666456-01,#MISS,"Bimervax XFG.1.1 émuls. inj. i.m. ser. préremplie",
CTI-EXTEND-662959-01,#MISS,"Ixchiq sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.",
CTI-EXTEND-444516-01,VAC0520,"Imvanex susp. inj. s.c. flac.","IMVANEX"
CTI-EXTEND-663217-01,VAC0520,"Imvanex susp. inj. s.c. flac.","IMVANEX"
CTI-EXTEND-661237-01,VAC0520,"Imvanex susp. inj. s.c. flac.","IMVANEX"
CTI-EXTEND-552080-01,VAC0586,"Ervebo sol. inj. i.m. flac.","Ervebo"
CTI-EXTEND-660959-01,VAC0644,"Qdenga sol. inj. (pdr. + solv.) s.c. flac.","QDENGA"
CTI-EXTEND-660937-01,VAC0644,"Qdenga sol. inj. (pdr. + solv.) s.c. flac.","QDENGA"
CTI-EXTEND-660960-01,VAC0644,"Qdenga sol. inj. (pdr. + solv.) s.c. ser. préremplie flac.","QDENGA"
CTI-EXTEND-660961-01,VAC0644,"Qdenga sol. inj. (pdr. + solv.) s.c. ser. préremplie flac.","QDENGA"
CTI-EXTEND-660962-01,VAC0644,"Qdenga sol. inj. (pdr. + solv.) s.c. ser. préremplie flac.","QDENGA"
CTI-EXTEND-660963-01,VAC0644,"Qdenga sol. inj. (pdr. + solv.) s.c. ser. préremplie flac.","QDENGA"
CTI-EXTEND-661566-01,VAC1040,"Arexvy susp. inj. (pdr. + susp.) i.m. flac.","AREXVY"
CTI-EXTEND-661565-01,VAC1040,"Arexvy susp. inj. (pdr. + susp.) i.m. flac.","AREXVY"
CTI-EXTEND-661565-02,VAC1040,"Arexvy susp. inj. (pdr. + susp.) i.m. flac.","AREXVY"
CTI-EXTEND-663041-01,VAC1047,"Abrysvo sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","ABRYSVO"
CTI-EXTEND-661771-01,VAC1047,"Abrysvo sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","ABRYSVO"
CTI-EXTEND-661772-01,VAC1047,"Abrysvo sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","ABRYSVO"
CTI-EXTEND-661773-01,VAC1047,"Abrysvo sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","ABRYSVO"
CTI-EXTEND-661774-01,VAC1047,"Abrysvo sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","ABRYSVO"
CTI-EXTEND-661775-01,VAC1047,"Abrysvo sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","ABRYSVO"
CTI-EXTEND-661776-01,VAC1047,"Abrysvo sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","ABRYSVO"
CTI-EXTEND-662412-01,VAC1047,"Abrysvo sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","ABRYSVO"
CTI-EXTEND-664339-01,#MISS,"Mresvia disp. inj. i.m. ser. préremplie",
CTI-EXTEND-664340-01,#MISS,"Mresvia disp. inj. i.m. ser. préremplie",
CTI-EXTEND-663214-01,VAC1262,"Mresvia disp. inj. i.m. ser. préremplie","MRESVIA"
CTI-EXTEND-663215-01,VAC1262,"Mresvia disp. inj. i.m. ser. préremplie","MRESVIA"
CTI-EXTEND-665945-01,#MISS,"Abrysvo sol. inj. (pdr. + solv.) i.m. flac.",
CTI-EXTEND-666068-01,#MISS,"Arexvy susp. inj. (pdr. + susp.) i.m. ser. préremplie flac.",
CTI-EXTEND-666069-01,#MISS,"Arexvy susp. inj. (pdr. + susp.) i.m. ser. préremplie flac.",
CTI-EXTEND-207873-01,VAC0030,"Revaxis susp. inj. i.m. ser. préremplie","REVAXIS"
CTI-EXTEND-207873-02,VAC0030,"Revaxis susp. inj. i.m. ser. préremplie","REVAXIS"
CTI-EXTEND-270435-02,VAC0568,"Boostrix Polio susp. inj. i.m. ser. préremplie","BOOSTRIX-POLIO"
CTI-EXTEND-270435-01,VAC0568,"Boostrix Polio susp. inj. i.m. ser. préremplie","BOOSTRIX-POLIO"
CTI-EXTEND-241096-01,VAC0736,"Triaxis Polio 0.5 ml susp. inj. i.m. ser. préremplie","TRIAXIS POLIO"
CTI-EXTEND-241096-02,VAC0736,"Triaxis Polio 0.5 ml susp. inj. i.m. ser. préremplie","TRIAXIS POLIO"
CTI-EXTEND-241096-03,VAC0736,"Triaxis Polio 0.5 ml susp. inj. i.m. ser. préremplie","TRIAXIS POLIO"
CTI-EXTEND-241096-04,VAC0736,"Triaxis Polio 0.5 ml susp. inj. i.m. ser. préremplie","TRIAXIS POLIO"
CTI-EXTEND-241096-05,VAC0736,"Triaxis Polio 0.5 ml susp. inj. i.m. ser. préremplie","TRIAXIS POLIO"
CTI-EXTEND-241096-06,VAC0736,"Triaxis Polio 0.5 ml susp. inj. i.m. ser. préremplie","TRIAXIS POLIO"
CTI-EXTEND-241096-07,VAC0736,"Triaxis Polio 0.5 ml susp. inj. i.m. ser. préremplie","TRIAXIS POLIO"
CTI-EXTEND-212152-02,VAC0569,"Infanrix IPV susp. inj. i.m. ser. préremplie","INFANRIX-IPV"
CTI-EXTEND-212152-01,VAC0569,"Infanrix IPV susp. inj. i.m. ser. préremplie","INFANRIX-IPV"
CTI-EXTEND-212152-04,VAC0569,"Infanrix IPV susp. inj. i.m. ser. préremplie","INFANRIX-IPV"
CTI-EXTEND-212152-03,VAC0569,"Infanrix IPV susp. inj. i.m. ser. préremplie","INFANRIX-IPV"
CTI-EXTEND-212152-05,VAC0569,"Infanrix IPV susp. inj. i.m. ser. préremplie","INFANRIX-IPV"
CTI-EXTEND-196122-01,VAC0037,"Tetravac susp. inj. i.m. ser. préremplie","TETRAVAC-ACELLULAIRE"
CTI-EXTEND-196122-02,VAC0037,"Tetravac susp. inj. i.m. ser. préremplie","TETRAVAC-ACELLULAIRE"
CTI-EXTEND-196122-03,VAC0037,"Tetravac susp. inj. i.m. ser. préremplie","TETRAVAC-ACELLULAIRE"
CTI-EXTEND-196122-05,VAC0037,"Tetravac susp. inj. i.m. ser. préremplie","TETRAVAC-ACELLULAIRE"
CTI-EXTEND-196122-06,VAC0037,"Tetravac susp. inj. i.m. ser. préremplie","TETRAVAC-ACELLULAIRE"
CTI-EXTEND-196122-04,VAC0037,"Tetravac susp. inj. i.m. ser. préremplie","TETRAVAC-ACELLULAIRE"
CTI-EXTEND-196131-02,VAC0023,"Pentavac susp. inj. (pdr. + susp.) i.m. ser. préremplie flac.","PENTAVAC"
CTI-EXTEND-196131-01,VAC0023,"Pentavac susp. inj. (pdr. + susp.) i.m. ser. préremplie flac.","PENTAVAC"
CTI-EXTEND-196131-03,VAC0023,"Pentavac susp. inj. (pdr. + susp.) i.m. ser. préremplie flac.","PENTAVAC"
CTI-EXTEND-196131-04,VAC0023,"Pentavac susp. inj. (pdr. + susp.) i.m. ser. préremplie flac.","PENTAVAC"
CTI-EXTEND-196131-05,VAC0023,"Pentavac susp. inj. (pdr. + susp.) i.m. ser. préremplie flac.","PENTAVAC"
CTI-EXTEND-196131-06,VAC0023,"Pentavac susp. inj. (pdr. + susp.) i.m. ser. préremplie flac.","PENTAVAC"
CTI-EXTEND-193961-02,VAC1045,"Infanrix IPV + Hib susp. inj. (pdr. + susp.) i.m. ser. préremplie flac.","INFANRIX-IPV/Hib"
CTI-EXTEND-193961-01,VAC1045,"Infanrix IPV + Hib susp. inj. (pdr. + susp.) i.m. ser. préremplie flac.","INFANRIX-IPV/Hib"
CTI-EXTEND-495635-01,VAC0510,"Hexyon susp. inj. i.m. ser. préremplie","HEXYON"
CTI-EXTEND-495644-01,VAC0510,"Hexyon susp. inj. i.m. ser. préremplie","HEXYON"
CTI-EXTEND-441165-01,VAC0510,"Hexyon susp. inj. i.m. ser. préremplie","HEXYON"
CTI-EXTEND-441174-01,VAC0510,"Hexyon susp. inj. i.m. ser. préremplie","HEXYON"
CTI-EXTEND-441174-02,VAC0510,"Hexyon susp. inj. i.m. ser. préremplie","HEXYON"
CTI-EXTEND-441131-01,VAC0510,"Hexyon susp. inj. i.m. ser. préremplie","HEXYON"
CTI-EXTEND-441183-01,VAC0510,"Hexyon susp. inj. i.m. ser. préremplie","HEXYON"
CTI-EXTEND-441156-01,VAC0510,"Hexyon susp. inj. i.m. ser. préremplie","HEXYON"
CTI-EXTEND-441147-01,VAC0510,"Hexyon susp. inj. i.m. ser. préremplie","HEXYON"
CTI-EXTEND-662540-01,VAC0510,"Hexyon susp. inj. i.m. ser. préremplie","HEXYON"
CTI-EXTEND-662541-01,VAC0510,"Hexyon susp. inj. i.m. ser. préremplie","HEXYON"
CTI-EXTEND-494186-01,VAC0535,"Vaxelis susp. inj. i.m. ser. préremplie","VAXELIS"
CTI-EXTEND-494204-01,VAC0535,"Vaxelis susp. inj. i.m. ser. préremplie","VAXELIS"
CTI-EXTEND-494213-01,VAC0535,"Vaxelis susp. inj. i.m. ser. préremplie","VAXELIS"
CTI-EXTEND-494222-01,VAC0535,"Vaxelis susp. inj. i.m. ser. préremplie","VAXELIS"
CTI-EXTEND-494195-01,VAC0535,"Vaxelis susp. inj. i.m. ser. préremplie","VAXELIS"
CTI-EXTEND-494177-01,VAC0535,"Vaxelis susp. inj. i.m. ser. préremplie","VAXELIS"
CTI-EXTEND-494106-01,VAC0535,"Vaxelis susp. inj. i.m. ser. préremplie","VAXELIS"
CTI-EXTEND-490186-01,VAC0014,"Infanrix Hexa susp. inj. (pdr. + susp.) i.m. ser. préremplie flac.","INFANRIX HEXA"
CTI-EXTEND-441122-01,VAC0510,"Hexyon susp. inj. i.m. flac.","HEXYON"
CTI-EXTEND-441086-01,VAC0507,"Hexacima susp. inj. i.m. ser. préremplie","HEXACIMA"
CTI-EXTEND-441061-01,VAC0507,"Hexacima susp. inj. i.m. ser. préremplie","HEXACIMA"
CTI-EXTEND-441113-01,VAC0507,"Hexacima susp. inj. i.m. ser. préremplie","HEXACIMA"
CTI-EXTEND-441077-01,VAC0507,"Hexacima susp. inj. i.m. ser. préremplie","HEXACIMA"
CTI-EXTEND-441104-01,VAC0507,"Hexacima susp. inj. i.m. ser. préremplie","HEXACIMA"
CTI-EXTEND-441095-01,VAC0507,"Hexacima susp. inj. i.m. ser. préremplie","HEXACIMA"
CTI-EXTEND-662550-01,VAC0507,"Hexacima susp. inj. i.m. ser. préremplie","HEXACIMA"
CTI-EXTEND-662551-01,VAC0507,"Hexacima susp. inj. i.m. ser. préremplie","HEXACIMA"
CTI-EXTEND-441052-01,VAC0507,"Hexacima susp. inj. i.m. flac.","HEXACIMA"
CTI-EXTEND-219572-01,VAC0014,"Infanrix Hexa susp. inj. (pdr. + susp.) i.m. ser. préremplie flac.","INFANRIX HEXA"
CTI-EXTEND-219581-01,VAC0014,"Infanrix Hexa susp. inj. (pdr. + susp.) i.m. ser. préremplie flac.","INFANRIX HEXA"
CTI-EXTEND-219554-01,VAC0014,"Infanrix Hexa susp. inj. (pdr. + susp.) i.m. ser. préremplie flac.","INFANRIX HEXA"
CTI-EXTEND-219545-01,VAC0014,"Infanrix Hexa susp. inj. (pdr. + susp.) i.m. ser. préremplie flac.","INFANRIX HEXA"
